	Organization		Sponsorship Category		Years		Allocation																						
	Political Computer Science		SAG		1		$200																						
	Pre-Medical Honor Society		SAG		3		$190																						
	Pre-Nursing Society		SAG		7		$570																						
	"Pre-Pharmacy Informational, Learning and Leadership Society"		SAG		19		"$2,500"																						
	PreDental Society		SAG		36		"$1,250"																						
	Product Development at Berkeley (formerly EPOCH)		SAG		2		Sponsorship Only																						
	Product Space at Berkeley		SAG		1		$200																						
	Progressive Student Association		SAG		6		"$1,410"																						
	"Project pengyou, Berkeley Chapter"		SAG		5		$500																						
	Puente at Berkeley		SAG		2		$400																						
	Punjabis at Berkeley		SAG		1		Sponsorship Only																						
	Queer + Allied Pre-Health/ Pre-Medical Association		SAG		3		$500																						
	Queer Student Union		SAG		12		"$1,200"																						
	Queer Trans South Asians at Berkeley		SAG		1		$350																						
	Quidditch League at Berkeley		SAG		11		Sponsorship Only																						
	Ra-On		SAG		9		"$1,500"																						
	Raas Ramzat		SAG		3		$500																						
	RAPrEvention		SAG		1		$400																						
	Re-Entry and Transfer Student Association		SAG		22		"$3,500"																						
	Reconnect Ministries		SAG		1		$400																						
	Regents' and Chancellor's Scholars Association		SAG		5		"$1,000"																						
	Robomaster at Berkeley		SAG		1		Sponsorship Only																						
	Robotics at Berkeley		SAG		5		Sponsorship Only																						
	Rubik's Cube Club at Berkeley		SAG		8		$500																						
	Russian Student Association		SAG		14		$120																						
	Salsa at Cal		SAG		8		$700																						
	SCUBA at Berkeley		SAG		2		$400																						
	Secular Student Alliance at Berkeley		SAG		1		$400																						
	Seed Base Consulting		SAG		2		Sponsorship Only																						
	Sigma Alpha Nu		SAG		9		$134																						
	Sigma Epsilon Omega		SAG		2		$400																						
	Sigma Eta Pi		SAG		3		$500																						
	Sigma Mu Delta		SAG		3		$400																						
	Sigma Omicron  Pi		SAG		1		Sponsorship Only																						
	"Sigma Psi Zeta Sorority, Inc"		SAG		4		$245																						
	Sikh Students Association		SAG		16		"$1,500"																						
	Singapore Student Association		SAG		1		Sponsorship Only																						
	Smart Woman Securities at Berkeley		SAG		3		$500																						
	SoBears: Students for Recovery		SAG		1		$400																						
	Songwriting at Berkeley		SAG		3		$500																						
	Sorayya: Middle Eastern and Central Asian Dance Troupe		SAG		1		$400																						
	South Indian Society		SAG		4		$500																						
	Space Technologies and Rocketry		SAG		1		Sponsorship Only																						
	Speech at Berkeley		SAG		8		"$1,300"																						
	SPIRE		SAG		5		$500																						
	Sports Analytics Group at Berkeley		SAG		1		$400																						
	Spring Foundation		SAG		7		"$1,150"																						
	Statistics Undergraduate Students Association		SAG		5		$900																						
	Strait Talk		SAG		12		"$1,500"																						
	Student Coalition for Disability Rights		SAG		1		$400																						
	Student Food Collective		SAG		1		$400																						
	Student Organic Gardening Association		SAG		4		Sponsorship Only																						
	Student Nutrition Advocacy Club		SAG		3		$500																						
	Student Premed Advising Network		SAG		4		$500																						
	Students for Hip Hop		SAG		18		"$5,600"																						
	Students for Justice in Palestine		SAG		13		"$1,500"																						
	Students for Life at Berkeley		SAG		21		"$3,250"																						
	Students of Color in Economics		SAG		1		Sponsorship Only																						
